file_name,class_id,class_name,x1,y1,x2,y2,label
00001.jpg,13,Audi TTS Coupe 2012,39,116,569,375,resident
00002.jpg,2,Acura TL Sedan 2012,36,116,868,587,resident
00003.jpg,90,Dodge Dakota Club Cab 2007,85,109,601,381,first-time visitor
00004.jpg,133,Hyundai Sonata Hybrid Sedan 2012,621,393,1484,1096,resident
00005.jpg,105,Ford F-450 Super Duty Crew Cab 2012,14,36,133,99,first-time visitor
00006.jpg,122,Geo Metro Convertible 1993,259,289,515,416,visitor
00007.jpg,88,Dodge Journey SUV 2012,88,80,541,397,delivery
00008.jpg,95,Dodge Charger Sedan 2012,73,79,591,410,resident
00009.jpg,166,Mitsubishi Lancer Sedan 2012,20,126,1269,771,resident
00010.jpg,57,Chevrolet Traverse SUV 2012,21,110,623,367,delivery
00011.jpg,48,Buick Verano Sedan 2012,51,93,601,393,resident
00012.jpg,185,Toyota Sequoia SUV 2012,6,62,499,286,delivery
00013.jpg,134,Hyundai Elantra Sedan 2007,30,36,418,307,resident
00014.jpg,84,Dodge Caravan Minivan 1997,31,246,778,540,delivery
00015.jpg,192,Volvo C30 Hatchback 2012,32,77,589,379,frequent visitor
00016.jpg,171,Plymouth Neon Coupe 1999,27,49,611,396,resident
00017.jpg,13,Audi TTS Coupe 2012,39,52,233,150,resident
00018.jpg,72,Chevrolet Malibu Sedan 2007,3,8,190,147,resident
00019.jpg,191,Volkswagen Beetle Hatchback 2012,247,287,1366,761,frequent visitor
00020.jpg,56,Chevrolet Corvette Ron Fellows Edition Z06 2007,17,281,961,596,other
00021.jpg,78,Chrysler 300 SRT-8 2010,17,156,695,375,other
00022.jpg,35,BMW M6 Convertible 2010,212,538,1893,1131,visitor
00023.jpg,119,GMC Yukon Hybrid SUV 2012,11,28,476,234,delivery
00024.jpg,169,Nissan Juke Hatchback 2012,53,126,973,621,frequent visitor
00025.jpg,193,Volvo 240 Sedan 1993,34,87,567,343,resident
00026.jpg,133,Hyundai Sonata Hybrid Sedan 2012,30,174,598,379,resident
00027.jpg,183,Suzuki SX4 Sedan 2012,80,107,606,336,resident
00028.jpg,85,Dodge Ram Pickup 3500 Crew Cab 2010,45,115,585,382,first-time visitor
00029.jpg,179,Spyker C8 Coupe 2009,28,139,1564,1126,resident
00030.jpg,193,Volvo 240 Sedan 1993,82,109,874,521,resident
00031.jpg,153,Land Rover Range Rover SUV 2012,55,318,446,564,delivery
00032.jpg,138,Hyundai Elantra Touring Hatchback 2012,12,31,471,350,frequent visitor
00033.jpg,65,Chevrolet Cobalt SS 2010,34,197,1011,656,other
00034.jpg,132,Hyundai Veracruz SUV 2012,37,63,614,397,delivery
00035.jpg,153,Land Rover Range Rover SUV 2012,223,87,1111,670,delivery
00036.jpg,103,Ferrari 458 Italia Coupe 2012,138,41,521,223,resident
00037.jpg,37,BMW Z4 Convertible 2012,31,87,616,344,visitor
00038.jpg,96,Dodge Charger SRT-8 2009,16,89,459,326,other
00039.jpg,104,Fisker Karma Sedan 2012,53,113,614,350,resident
00040.jpg,141,Infiniti QX56 SUV 2011,214,110,660,403,delivery
00041.jpg,12,Audi A5 Coupe 2012,61,55,566,408,resident
00042.jpg,190,Volkswagen Golf Hatchback 1991,28,61,622,371,frequent visitor
00043.jpg,118,GMC Savana Van 2012,22,39,588,362,other
00044.jpg,37,BMW Z4 Convertible 2012,220,193,537,364,visitor
00045.jpg,185,Toyota Sequoia SUV 2012,12,108,489,297,delivery
00046.jpg,24,Audi TT RS Coupe 2012,28,80,759,466,resident
00047.jpg,193,Volvo 240 Sedan 1993,84,248,1102,899,resident
00048.jpg,176,Rolls-Royce Phantom Sedan 2012,142,69,753,451,resident
00049.jpg,172,Porsche Panamera Sedan 2012,166,543,887,903,resident
00050.jpg,41,Bentley Continental GT Coupe 2012,20,96,564,341,resident
00051.jpg,90,Dodge Dakota Club Cab 2007,41,181,607,465,first-time visitor
00052.jpg,147,Jeep Grand Cherokee SUV 2012,39,29,774,395,delivery
00053.jpg,14,Audi R8 Coupe 2012,161,191,425,307,resident
00054.jpg,96,Dodge Charger SRT-8 2009,58,562,1528,1081,other
00055.jpg,41,Bentley Continental GT Coupe 2012,80,120,582,391,resident
00056.jpg,52,Cadillac Escalade EXT Crew Cab 2007,32,48,472,267,first-time visitor
00057.jpg,43,Bentley Continental Flying Spur Sedan 2007,260,138,972,439,resident
00058.jpg,64,Chevrolet Avalanche Crew Cab 2012,11,35,256,173,first-time visitor
00059.jpg,89,Dodge Dakota Crew Cab 2010,68,91,607,354,first-time visitor
00060.jpg,123,HUMMER H3T Crew Cab 2010,129,120,345,269,first-time visitor
00061.jpg,113,Ford F-150 Regular Cab 2007,11,104,1011,742,first-time visitor
00062.jpg,189,Volkswagen Golf Hatchback 2012,19,21,425,265,frequent visitor
00063.jpg,100,Ferrari FF Coupe 2012,175,330,928,647,resident
00064.jpg,186,Toyota Camry Sedan 2012,97,39,925,700,resident
